co2_rank;nace_id;nace_id_2_digit;nace_desc_2_digit;employees_rank;out_strength_rank;esri_ew_19;esri_ew_rank;esri_ow_19;esri_ow_rank;emission_employees_rank;emission_out_strength_rank;emission_esri_ew_rank;emission_esri_ow_rank;emission_esri_ew_esri_ow_arithmetic_rank;emission_esri_ew_esri_ow_geometric_rank;parent_id;parent_id_desc;color_parent_id;emissions_rel;emissions_rel_industry;emissions_rel_VS_ew_esri
24;10.62;10;Manufacture of food products;79;115;0.0114630589726022;107;0.0142520765305007;109;37;97;85;91;90;90;C;MANUFACTURING;tab:cyan;0.2219437244890041;0.6584448049853672;19.361649017026842
75;22.11;22;Manufacture of rubber and plastic products;104;114;0.0007082037854708;74;0.0019978040299596;89;103;112;82;99;93;91;C;MANUFACTURING;tab:cyan;0.020573308708270604;0.0610352388719697;29.049984101107103
19;35.3;35;Electricity, gas, steam and air conditioning supply;85;99;0.0182244415580906;111;0.0170454951972623;110;36;70;93;88;91;92;D;ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY;tab:orange;0.3026135675818292;0.897769612324477;16.604819775533056
109;35.3;35;Electricity, gas, steam and air conditioning supply;62;40;0.0001970722082217;50;0.0004036749965053;55;99;89;84;95;92;93;D;ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY;tab:orange;0.004623407260254838;0.0137163530929087;23.460473204083915
29;23.52;23;Manufacture of other non-metallic mineral products;32;60;0.0096268776348627;106;0.0110487595827934;106;22;28;94;92;94;94;C;MANUFACTURING;tab:cyan;0.1566588549345832;0.4647629007043318;16.27307013514538
93;17.11;17;Manufacture of paper and paper products;52;22;0.0006635390807826;72;0.0008989487369238;69;84;30;95;94;95;95;C;MANUFACTURING;tab:cyan;0.01050859031862555;0.031176041219229546;15.837183706242849
48;35.3;35;Electricity, gas, steam and air conditioning supply;57;71;0.0034735503482021;96;0.0044864337297911;98;53;77;96;98;96;96;D;ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY;tab:orange;0.050322039948473604;0.1492913839155662;14.487206144721682
81;24.42;24;Manufacture of basic metals;81;85;0.0014999260438005;84;0.0015702388980756;83;93;103;98;96;97;97;C;MANUFACTURING;tab:cyan;0.017872829140347338;0.05302367311780349;11.915806925427677
78;21.2;21;Manufacture of basic pharmaceutical products and pharmaceutical preparations;112;105;0.0019465140121963;93;0.0017805081650704;87;113;109;100;97;98;98;C;MANUFACTURING;tab:cyan;0.020148060776310275;0.05977364748309525;10.350842917167968
55;21.2;21;Manufacture of basic pharmaceutical products and pharmaceutical preparations;118;104;0.0040896857627058;98;0.0027690196011526;93;115;105;103;93;99;99;C;MANUFACTURING;tab:cyan;0.03376996259680598;0.10018601106028882;8.25734898870647
97;11.05;11;Manufacture of beverages;86;106;0.0006718517201498;73;0.0016295307939751;86;101;114;97;103;101;100;C;MANUFACTURING;tab:cyan;0.009715518445517048;0.028823219322460042;14.460807577229717
3;6.2;6;;116;119;0.28035513393058;119;0.321040575728763;119;44;95;101;100;100;101;B;MINING AND QUARRYING;tab:pink;2.601846879704499;7.718950221517491;9.28053944733095
27;23.52;23;Manufacture of other non-metallic mineral products;28;70;0.0186351233172103;112;0.0213093436800973;111;18;43;102;102;102;102;C;MANUFACTURING;tab:cyan;0.16630298139152297;0.49337432001260123;8.924168547783923
80;16.21;16;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";78;117;0.0015884139071666;86;0.0033471383167907;96;90;116;99;106;103;103;C;MANUFACTURING;tab:cyan;0.01804510111278382;0.053534755760741674;11.360452732986031
54;23.19;23;Manufacture of other non-metallic mineral products;114;69;0.005810023032712;103;0.0043690853458817;97;109;80;104;101;104;104;C;MANUFACTURING;tab:cyan;0.0350519143916937;0.10398920261945048;6.033007820165592
42;10.81;10;Manufacture of food products;74;88;0.0121779494520388;109;0.0109629444542289;105;61;91;105;104;105;105;C;MANUFACTURING;tab:cyan;0.061370726180683816;0.182069738285629;5.039495887413894
9;20.15;20;Manufacture of chemicals and chemical products;89;109;0.266357530526924;115;0.289330633234555;115;24;42;106;107;106;106;C;MANUFACTURING;tab:cyan;1.259618518461037;3.7369349895050794;4.729051647119516
91;10.13;10;Manufacture of food products;107;101;0.0030795248836144;95;0.0021439524261672;90;114;111;108;105;107;107;C;MANUFACTURING;tab:cyan;0.011632238138841898;0.034509589268664216;3.7772833727484882
67;10.92;10;Manufacture of food products;106;110;0.0092112770131545;105;0.0063813561208698;102;106;110;110;108;108;108;C;MANUFACTURING;tab:cyan;0.023335868266261075;0.06923097855151904;2.5334020714973002
65;29.1;29;Manufacture of motor vehicles, trailers and semi-trailers;109;118;0.0055145258848813;101;0.0131474788434375;108;108;115;107;111;109;109;C;MANUFACTURING;tab:cyan;0.024976332003786877;0.07409777452976828;4.529189367351114
77;29.1;29;Manufacture of motor vehicles, trailers and semi-trailers;117;28;0.005525635437564;102;0.0106013317663017;104;116;32;109;110;110;110;C;MANUFACTURING;tab:cyan;0.02029860475222324;0.06022026925214934;3.6735331133557314
108;10.84;10;Manufacture of food products;97;89;0.0028780546450112;94;0.0023429588892244;91;111;113;111;109;111;111;C;MANUFACTURING;tab:cyan;0.0054087191346049385;0.01604615324900531;1.8792968868677928
39;35.11;35;Electricity, gas, steam and air conditioning supply;103;50;0.0457591726649629;114;0.050424658684848;114;89;27;114;112;112;112;D;ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY;tab:orange;0.06956683686930609;0.20638530078433687;1.5202817887171365
115;35.11;35;Electricity, gas, steam and air conditioning supply;60;78;0.0007154558301106;75;0.0011636304765846;75;112;118;112;113;113;113;D;ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY;tab:orange;0.0011934878090419504;0.0035407437154906986;1.6681502320799497
118;16.21;16;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";54;95;0.0003026718937938;55;0.0007938476986164;68;117;119;113;118;116;114;C;MANUFACTURING;tab:cyan;0.0004764639237657722;0.0014135348773155324;1.5741928257480384
82;29.32;29;Manufacture of motor vehicles, trailers and semi-trailers;119;64;0.0130378883444381;110;0.0213584995135143;112;119;93;115;116;114;115;C;MANUFACTURING;tab:cyan;0.01557742150761256;0.04621384222676221;1.1947810179136726
21;49.5;49;Land transport and transport via pipelines;98;113;0.266372701037849;116;0.291189757764064;118;52;90;116;114;115;116;H;TRANSPORTATION AND STORAGE;tab:red;0.2509754318439309;0.7445737411907885;0.9421965196361083
23;20.11;20;Manufacture of chemicals and chemical products;84;108;0.267186261305102;117;0.290943244602464;117;41;83;117;115;117;117;C;MANUFACTURING;tab:cyan;0.2406732574922788;0.7140100782734579;0.9007695841720402
119;16.21;16;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";66;56;0.0004466129431721;65;0.0005063260121829;57;118;117;118;117;118;118;C;MANUFACTURING;tab:cyan;0.000353855943383049;0.0010497913746838482;0.7923100948883438
85;52.23;52;Warehousing and support activities for transportation;93;92;0.267331634438702;118;0.289611966307646;116;100;108;119;119;119;119;H;TRANSPORTATION AND STORAGE;tab:red;0.014742445641208697;0.0437367029303591;0.055146655846257796
